title,link,abstract
"… Image and Impact on Purchasing Decision (Case Study on Student of The Faculty of Administrative Sciences, Universitas Brawijaya WHO Purchase Tupperware …",https://dinastipub.org/DIJDBM/article/view/2007,"This research aims to clarify (1) the influence of green marketing to brand image,(2) the 
influence of green marketing to the purchase decision (3) the influence of brand image to the …"
Pengaruh Persepsi Dan Motivasi Terhadap Minat Mahasiswa Jurusan Akuntasi Fakultas Ekonomi Dan Bisnis Universitas Brawijaya Berkarir Di Bidang Perpajakan,http://jimfeb.ub.ac.id/index.php/jimfeb/article/view/319,"… Universitas Brawijaya berkarir di bidang perpajakan. Penelitian ini menggunakan 88 orang 
mahasiswa Jurusan Akuntansi S1 Universitas Brawijaya … Bisnis Universitas Brawijaya dan …"
Implementasi Metode Text Mining dan K-Means Clustering untuk Pengelompokan Dokumen Skripsi (Studi Kasus: Universitas Brawijaya),http://j-ptiik.ub.ac.id/index.php/j-ptiik/article/view/3332,"… perpustakaan Universitas. Berbagai karya ilmiah dari sivitas akademika mulai dari skripsi, … 
Setiap tahun Universitas Brawijaya telah meluluskan banyak mahasiswa dengan penelitian …"
Pengaruh iklan terhadap sikap konsumen serta dampaknya pada keputusan pembelian (survei pada mahasiswa s1 universitas brawijaya malang pengguna kartu …,https://www.neliti.com/publications/88016/pengaruh-iklan-terhadap-sikap-konsumen-serta-dampaknya-pada-keputusan-pembelian,"Penelitian ini bertujuan untuk menguji pengaruh iklan terhadap sikap konsumen serta 
dampaknya pada keputusan pembelian. Penelitian ini menggunakan jenis penelitian explanatory …"
[PDF][PDF] Identifikasi tumbuhan paku epifit pada batang tanaman kelapa sawit (Elaeis guineensis J.) di lingkungan Universitas Brawijaya,https://core.ac.uk/download/pdf/542186892.pdf,"… kelapa sawit di lingkungan Universitas Brawijaya. Alat yang … Penelitian di-laksanakan di 
Kampus Universitas Brawijaya … terdapat di lingkungan Universitas Brawijaya Malang. Teknik …"
… Merek terhadap Word of Mouth dan Keputusan Pembelian (Survei pada Mahasiswa Fakultas Ilmu Administrasi Universitas Brawijaya Jurusan Administrasi Bisnis …,https://www.neliti.com/publications/87724/pengaruh-citra-merek-terhadap-word-of-mouth-dan-keputusan-pembelian-survei-pada,"Penelitian ini bertujuan untuk menganalisis dan menjelaskan: pengaruh Citra Merek terhadap 
Word of Mouth; pengaruh Word of Mouth terhadap Keputusan Pembelian; Citra Merek …"
Pengaruh Gaya Hidup Terhadap Keputusan Pembelian (Survei pada mahasiswa/mahasiswi Universitas brawijaya yang menggunakan sepatu sneakers merek …,http://repository.ub.ac.id/168348/,"… pembelian oleh mahasiswa/mahasiswi Universitas Brawijaya yang menggunakan sepatu 
sneakers … /mahasiswi yang ada di Universitas Brawijaya dengan teknik pengambilan sampel …"
Analisis potensi dan arahan strategi kebijakan pengembangan desa ekowisata di Kecamatan Bumiaji–Kota Batu,https://search.proquest.com/openview/0da50aebf19399ee04827d42405477be/1?pq-origsite=gscholar&cbl=2047999,"… dan Pembangunan, Universitas Brawijaya 2Program Magister … Universitas Brawijaya 
3Jurusan Biologi, Fakultas Matematika dan Ilmi Pengetahuan Alam, Universitas Brawijaya …"
Pengaruh penambahan pati biji durian (Durio zibethinus Murr) terhadap kualitas kimia dan organoleptik bakso ayam,http://repository.ub.ac.id/136880/,"… Hasil Ternak Fakultas Peternakan Universitas Brawijaya untuk proses … Universitas Brawijaya 
dan laboratorium Fisikokimia Teknologi Hasil Ternak laboratorium Universitas Brawijaya. …"
… Dampaknya Terhadap Keputusan Pembelian (Studi Pada Mahasiswa Pembeli Dan Pengguna Laptop Lenovo Di Fakultas Ilmu Administrasi Universitas Brawijaya),https://www.neliti.com/publications/86469/pengaruh-kualitas-produk-terhadap-international-brand-image-serta-dampaknya-terh,"… Penelitian ini dilakukan di Fakultas Ilmu Administrasi Universitas Brawijaya Malang pada 
pembeli dan pengguna Lenovo dengan melibatkan responden sebanyak 88 responden …"
Pengaruh Kemudahan terhadap Kepercayaan dan Penggunaan SMS Banking (Studi pada Mahasiswa Jurusan Administrasi Bisnis Universitas Brawijaya),https://www.neliti.com/publications/87708/pengaruh-kemudahan-terhadap-kepercayaan-dan-penggunaan-sms-banking-studi-pada-ma,"… Sampel dalam penelitian ini adalah mahasiswa jurusan administrasi bisnis Universitas 
Brawijaya yang berjumlah 96 responden. Teknik pengambilan sampel yang digunakan adalah …"
Pengaruh audit internal dan pengendalian internal terhadap pelaksanaan good governance (Studi pada Badan Layanan Umum Universitas Brawijaya Malang),http://repository.ub.ac.id/107219/,"… Unit analisis penelitian adalah Badan Layanan Umum Universitas Brawijaya dengan 
sampel sebanyak 109 orang. Metode pengambilan sampel menggunakan purposive sampling …"
… Tsukamoto Dua Tahap Menggunakan Algoritma Genetika Pada Pemilihan Calon Penerima Beasiswa-PPA dan BBP-PPA (Studi Kasus: PTIIK Universitas Brawijaya …,http://repository.ub.ac.id/146191/,"Beasiswa merupakan suatu bentuk bantuan keuangan yang diberikan kepada sesorang 
yang sedang menempuh bidang pendidikan dengan tujuan dapat meningkatkan prestasi dan …"
[PDF][PDF] … pangan dan besar uang saku mahasiswa manajemen bisnis dengan mahasiwa Jurusan Teknologi Hasil Pertanian Universitas Brawijaya terhadap status gizi,https://scholar.archive.org/work/4bzgkrdfmrcsnn4mpnlvqinzei/access/wayback/http://jpa.ub.ac.id:80/index.php/jpa/article/download/493/371,"Tujuan penelitian ini adalah untuk mengetahui hubungan pola konsumsi dengan besar 
uang saku mahasiswa jurusan Teknologi Hasil Pertanian dan Manajemen Bisnis terhadap …"
… User Experience Questionnaire (UEQ) dan Focus Group Discussion (FGD) pada Situs Web FILKOM Apps Mahasiswa Fakultas Ilmu Komputer Universitas Brawijaya,http://j-ptiik.ub.ac.id/index.php/j-ptiik/article/view/2202,"FILKOM Apps merupakan situs web yang memberikan informasi secara administrasi dan 
akademik untuk pengerjaan skripsi mahasiswa Fakultas Ilmu Komputer Universitas Brawijaya. …"
Analisis Sentimen pada Sosial Media Twitter Terhadap Layanan Sistem Informasi Akademik Mahasiswa Universitas Brawijaya dengan Metode K-Nearest Neighbor,http://j-ptiik.ub.ac.id/index.php/j-ptiik/article/view/7099,"… Sistem Informasi Akademik Mahasiswa Universitas Brawijaya (SIAM UB) merupakan sebuah 
layanan akademik milik Universitas Brawijaya yang digunakan untuk melayani keperluan …"
… kartu perdana simpati telkomsel di lingkungan mahasiswa jurusan administrasi bisnis angkatan 2012 & 2013 Fakultas Ilmu Administrasi Universitas Brawijaya …,https://www.neliti.com/publications/86887/pengaruh-brand-equity-terhadap-keputusan-pembelian-survei-pada-konsumen-pembeli,"Penelitian ini bertujuan untuk mengetahui: Pengaruh Brand Equity terhadap Keputusan 
Pembelian. Metode penelitian yang digunakan adalah penelitian penjelasan (explanatory …"
… Serta Dampaknya Pada Keputusan Pembelian Wardah Exclusive Matte Lip Cream (Survei Pada Mahasiswi Fakultas Ilmu Administrasi Universitas Brawijaya),https://www.neliti.com/publications/185677/pengaruh-desain-kemasan-produk-dan-daya-tarik-iklan-terhadap-brand-awareness-ser,"… Population in this research is student of Faculty of Administration Science of Universitas 
Brawijaya. Sampling method is purposive sampling with total sample as much 102 people. Data …"
… pembelian (Survei pada mahasiswa pengguna kartu selular gsm “IM3” angkatan 2011/2012 dan 2012/2013 Fakultas Ilmu Administrasi Universitas Brawijaya Malang …,https://www.neliti.com/publications/82799/pengaruh-word-of-mouth-terhadap-minat-beli-serta-dampaknya-pada-keputusan-pembel,"… Ilmu Administrasi Universitas Brawijaya Malang. … Universitas Brawijaya juga mengadakan 
kerjasama dengan pihak Indosat dengan membuat suatu komunitas Universitas Brawijaya …"
… Persepsi Mengenai Etika Atas Penggelapan Pajak (Tax Evasion)(Studi Pada Mahasiswa Jurusan Akuntansi Fakultas Ekonomi dan Bisnis Universitas Brawijaya),https://jimfeb.ub.ac.id/index.php/jimfeb/article/view/1625,"Penelitian ini bertujuan untuk menguji faktor-faktor yang mempengaruhi persepsi mengenai 
etika atas penggelapan pajak (tax evasion). Penelitian ini menggunakan metode survei …"
Evaluasi usability dan rekomendasi perbaikan tampilan website seleksi mahasiswa (SELMA) Universitas Brawijaya,http://j-ptiik.ub.ac.id/index.php/j-ptiik/article/view/1288,"Universitas Brawijaya sebagai salah satu PTN di Indonesia, memiliki website Seleksi 
Mahasiswa (SELMA) UB dan digunakan sebagai media penyampaian informasi publik secara …"
Evaluasi program mahasiswa wirausaha dengan model cipo di Universitas Brawijaya dan Universitas Negeri Malang,https://journal.uny.ac.id/index.php/jpep/article/view/16577,"… pada Universitas Brawijaya dan Universitas Negeri Malang di Jawa Timur. Penelitian ini 
menggunakan pendekatan evaluatif yang berbasis kasus pada kedua universitas pelaksana …"
"The influence of hard skill, soft skill, and social motive on the work readiness of accounting students of universitas brawijaya in the industrial revolution 4.0 era",http://repository.ub.ac.id/182750/,"… lebih penting lagi, universitas dan perguruan tinggi perlu … Ekonomi dan Bisnis Universitas 
Brawijaya di era revolusi industri … mahasiswa akuntansi universitas brawijaya tahun akademik …"
… Iklan Televisi terhadap Kesadaran Merek serta Dampaknya pada Keputusan Pembelian (Survei pada Mahasiswi Universitas Brawijaya Pengguna Produk Tresemme …,https://www.neliti.com/publications/86112/pengaruh-iklan-televisi-terhadap-kesadaran-merek-serta-dampaknya-pada-keputusan,"… Sampel 115 orang responden merupakan mahasiswi Universitas Brawijaya pengguna produk 
TRESemmé yang diambil dengan teknik purposive sampling. Pengumpulan data dengan …"
"Pengaruh Religiusitas, Produk Bank, Kepercayaan, Pengetahuan, dan Pelayanan terhadap Preferensi Menabung pada Perbankan Syariah",http://repository.ub.ac.id/108007/,"… Penelitian ini menggunakan sampel 50 responden mahasiswa muslim Fakultas Ekonomi 
dan Bisnis Universitas Brawijaya Malang yang menjadi nasabah perbankan syariah. Data …"
